Company Name,Company Website,Majors Hiring,Positions Available,Degree Required,Job Location,Online Application Web Page,Hiring Policy,Date of Attendance,Attending Receptions,Company Profile,Sponsor?,Building
Akuna Capital LLC,www.akunacapital.com,"Computer Engineering, Computer Science, Engineering Math/Physics, Financial Engineering, Interdisciplinary Engineering (Undergraduate), Interdisciplinary Programs",Full-time,"PhD, Masters, Bachelors",Midwest,,1,"Monday, September 24th",Yes,"Akuna Capital is a fast-growing boutique trading house that specializes in derivatives market-making and arbitrage. We pair up experienced and talented traders with our innovative IT department to create a flexible and dynamic approach to trading. We are located at the heart of the world's derivatives markets in Chicago, Illinois. Our culture is relaxed, focused and collaborative.",,PC
AkzoNobel,www.akzonobel.com,"Aerospace Engineering, Chemical Engineering, Industrial and Operations Engineering, Manufacturing Engineering","Full-time, Summer Internship",Bachelors,Midwest,http://www.akzonobel.com/uscareers,2,"Tuesday, September 25th",Yes,"AkzoNobel is proud to be one of the world's leading industrial companies. Based in the Netherlands, we make and supply a wide range of paints, coatings and specialty chemicals. In fact, we are the largest global paints and coatings company. We are looking to hire talented people to be future leaders of our global performance coatings business.",,EECS
Alcoa,www.alcoa.com,"Aerospace Engineering, Computer Science, Electrical Engineering, Industrial and Operations Engineering, Manufacturing Engineering, Materials Science and Engineering, Mechanical Engineering",Full-time,Bachelors,Midwest,,2,"Tuesday, September 25th",Yes,"Alcoa is the world's leading producer of primary aluminum, fabricated aluminum and alumina. Among the solutions Alcoa markets are flat-rolled products, hard alloy extrusions, and forgings, as well as Alcoa wheels, fastening systems, precision and investment castings, and building systems in addition to its expertise in other light metals such as titanium and nickel-based super alloys.",,DOW
Amazon,www.amazon.com,"Computer Engineering, Computer Science, Electrical Engineering",Full-time,"Masters, Bachelors",Northwest,https://up-amazon.icims.com/jobs/122383/job?in_iframe=1,1,"Monday, September 24th",Yes,"Amazon.com, Inc. (NASDAQ:AMZN), a Fortune 500 company based in Seattle, opened on the World Wide Web in July 1995 and today offers Earth's Biggest Selection. Amazon.com, Inc., seeks to be Earth's most customer-centric company, where customers can find and discover anything they might want to buy online, and endeavors to offer its customers the lowest possible prices.",,BBB
AMD,www.amd.com/careers,"Computer Engineering, Computer Science, Electrical Engineering","Full-time, Summer Internship, Co-Op","PhD, Bachelors","West Coast, Southwest, Northeast, Northwest, Southeast",,1,"Monday, September 24th",Yes,"AMD (NYSE: AMD) is a semiconductor design innovator leading the next era of vivid digital experiences with its ground-breaking AMD Fusion Accelerated Processing Units (APUs). AMD's graphics and computing technologies power a variety of solutions including PCs, game consoles and the servers that drive the Internet and businesses.",,PC
American Express,americanexpress.com\careers,"Aerospace Engineering, Atmospheric, Oceanic, and Space Sciences, Automotive Engineering, Biomedical Engineering, Chemical Engineering, Civil Engineering, Computer Engineering, Computer Science, Electrical Engineering, Engineering Math/Physics, Environmental Engineering, Financial Engineering, Industrial and Operations Engineering, Integrated Microsystems Engineering, Interdisciplinary Engineering (Undergraduate), Interdisciplinary Programs, Manufacturing Engineering, Materials Science and Engineering, Mechanical Engineering, Naval Architecture and Marine Engineering, Nuclear Engineering and Radiological Sciences, Pharmaceutical Engineering","Full-time, Summer Internship","PhD, Masters, Bachelors","Southwest, Northeast",americanexpress.com\careers,2,"Monday, September 24th",Yes,"American Express is a global service company with a focus on the highly profitable, high-growth payments processing business. No other company offers a broader array of charge, lending, prepaid and co-brand cards for consumers, small businesses, midsize companies and large corporations.",,CC
Amway,www.amway.com/careers,"Biomedical Engineering, Chemical Engineering, Civil Engineering, Computer Engineering, Electrical Engineering, Computer Science, Manufacturing Engineering, Mechanical Engineering, Materials Science",Summer Internship,"Masters, Bachelors","West Coast, Midwest",www.amway.com/careers,1,"Tuesday, September 25th",Yes,"As a $10.9 billion dollar pioneer in the direct selling industry, Amway has been helping the world live better lives since 1959. With more than 20,000 employees worldwide, we are a consumer goods manufacturer supporting more than three million independent business owners who provide products and services in 80-plus countries and territories.",,CC
Analog Devices,www.analog.com,"Computer Engineering, Electrical Engineering",Full-time,"PhD, Masters, Bachelors","Northeast, Southeast",www.analog.com/careers,1,"Monday, September 24th",Yes,"Analog Devices, Inc. (NYSE: ADI) defines innovation and excellence in signal processing. ADI's analog, mixed-signal, and digital signal processing (DSP) integrated circuits (IC) play a fundamental role in converting, conditioning, and processing real-world phenomena such as light, sound, temperature, motion, and pressure into electrical signals to be used in a wide array of electronic equipment.",,CO
Andersen Corporation,www.andersenwindows.com,"Chemical Engineering, Industrial and Operations Engineering, Manufacturing Engineering, Materials Science and Engineering, Mechanical Engineering","Full-time, Summer Internship",,,,2,"Tuesday, September 25th",No,"Andersen Corporation is the largest and most recognized window brand in the world and is known internationally for its high standards for quality. Our commitment to product excellence, customer satisfaction, environmental stewardship, employee welfare and corporate citizenship, has built Andersen into the foremost manufacturer of windows and doors. The Andersen enterprise is privately held and employs more than 9,000 people.",,PC
Andreessen Horowitz,www.a16z.com,"Computer Engineering, Computer Science, Electrical Engineering","Full-time, Summer Internship, Co-Op","PhD, Masters, Bachelors","West Coast, Northeast, Northwest",,1,"Monday, September 24th",Yes,"Andreessen Horowitz is a venture capital firm that provides seed, venture and growth-stage funding to the best new technology companies. Founded by Marc Andreessen and Ben Horowitz, Andreessen Horowitz helps entrepreneurs become successful CEOs and build important and enduring companies. Its general partners are Marc Andreessen, Ben Horowitz, John O'Farrell, Scott Weiss, Jeff Jordan and Peter Levine, all widely recognized experts in the creation, scaling and operation of high growth technology companies. The firm has $2.7 billion under management across three funds. Among its 90 investments are Airbnb, Apptio, Box, Fab, Facebook, Foursquare, Groupon, Jawbone, Lytro, Pinterest, Silver Tail Systems, Twitter and Zynga. The firm was established in June 2009 and is located in Menlo Park, California. www.a16z.com",,EECS
Anheuser Busch InBev,www.ab-inbev.com/ownyourfuture,"Aerospace Engineering, Atmospheric, Oceanic, and Space Sciences, Automotive Engineering, Biomedical Engineering, Chemical Engineering, Civil Engineering, Computer Engineering, Computer Science, Electrical Engineering, Engineering Math/Physics, Environmental Engineering, Financial Engineering, Industrial and Operations Engineering, Integrated Microsystems Engineering, Interdisciplinary Engineering (Undergraduate), Interdisciplinary Programs, Manufacturing Engineering, Materials Science and Engineering, Mechanical Engineering, Naval Architecture and Marine Engineering, Nuclear Engineering and Radiological Sciences, Pharmaceutical Engineering",Full-time,,,www.ab-inbev.com/ownyourfuture,1,"Tuesday, September 25th",No,"Anheuser-Busch InBev is a publicly traded company (Euronext: ABI) based in Leuven, Belgium. Leading global brewer, one of world's top five consumer products companies. True consumer-centric, sales driven company, managing portfolio of nearly 300 brands, including three global brands, Budwesier, Becks, and Stella Artois. Geographically diversified, we leverage collective strengths of 120,000 employees based in operations in 30+ countries. We strive to be the Best Beer Company in a Better World.",,GA
Apparatus,www.apparatus.net,"Computer Engineering, Computer Science","Full-time, Summer Internship","Masters, Bachelors",Midwest,www.apparatus.net/careers,1,"Monday, September 24th",No,"Based in Indianapolis, Apparatus is an established leader in advanced IT consulting and managed services, specializing in the design, implementation and support of IT infrastructure. Managing critical business applications and infrastructure. Helping our clients do more with less by leveraging collaboration and virtualization technologies. Technical support that's always just one call away. Cloud solutions designed with security, flexibility and growth in mind.",,GA
apple inc,www.apple.com,"Civil Engineering, Computer Engineering, Computer Science, Electrical Engineering, Engineering Math/Physics, Mechanical Engineering","Full-time, Summer Internship, Co-Op","PhD, Masters, Bachelors",West Coast,,1,"Monday, September 24th",Yes,"Apple Inc. is an American multinational corporation that designs and sells consumer electronics, computer software, and personal computers.",X,DC
Applied Materials,http://www.appliedmaterials.com/,"Chemical Engineering, Computer Engineering, Computer Science, Electrical Engineering, Materials Science and Engineering, Mechanical Engineering",Full-time,"PhD, Masters, Bachelors",Northwest,,1,"Tuesday, September 25th",No,,,DC
Arbor Networks,http://www.arbornetworks.com,"Computer Science, Electrical Engineering","Full-time, Summer Internship","Masters, Bachelors",Midwest,,1,"Tuesday, September 25th",Yes,Arbor Networks is a leader in network monitoring and security solutions. The world's leading network operators and Internet service providers turn to Arbor Networks to proactively fend off malicious threats such as botnets and distributed denial of service (DDoS) attacks.,,PC
ArcelorMittal,www.workforcearcelormittal.com,"Computer Engineering, Computer Science, Electrical Engineering, Materials Science and Engineering, Mechanical Engineering",Full-time,Bachelors,Midwest,,2,"Tuesday, September 25th",Yes,"ArcelorMittal is the world's leading steel and mining company. Guided by a philosophy to produce safe, sustainable steel, it is the leading supplier of quality steel products in all major markets including automotive, construction, household appliances and packaging. ArcelorMittal operates in 60 countries and employs 260,000 people worldwide.",X,DC
"Autoliv ASP, Inc.",www.autoliv.com,"Automotive Engineering, Manufacturing Engineering, Mechanical Engineering",Full-time,,Midwest,www.autoliv.com,2,"Tuesday, September 25th",Yes,"Autoliv is the U.S. subsidiary of Autoliv, Inc., the worldwide leader in automotive safety, a pioneer in both seat belts and airbags, and a technology leader with the widest product offering for automotive safety. We develop, market, and manufacture airbags, seatbelts, safety electronics, steering wheels, as well as night vision systems and other active safety systems for the automotive industry.",,PC
Avery Dennison,http://www.averydennison.com/avy/en_us,"Biomedical Engineering, Chemical Engineering, Civil Engineering, Financial Engineering, Manufacturing Engineering, Materials Science and Engineering, Mechanical Engineering",Full-time,Bachelors,"West Coast, Southwest, Northeast, Northwest, Midwest, Southeast",,1,"Tuesday, September 25th","Yes, No","General Avery Dennison Description: Avery Dennison is a global leader in pressure-sensitive labeling materials, retail tag, ticketing and branding systems, and office products. Based in Pasadena, Calif., Avery Dennison is a FORTUNE 500 Company with 2010 sales of $6.5 billion. Avery Dennison employs more than 30,000 individuals in over 60 countries, who develop, manufacture and market a wide range of products for both consumer and industrial markets.",X,EECS
BAE,http://www.baesystems.com,"Computer Engineering, Electrical Engineering, Industrial and Operations Engineering, Manufacturing Engineering, Mechanical Engineering","Full-time, Summer Internship","Masters, Bachelors","Northeast, Midwest",http://www.baesystems.jobs,2,"Tuesday, September 25th",No,"We're building on our strength as a global provider of defence and security products to shape support services that meet the changing needs of our customers. From sophisticated cyber services and military support, to mission critical electronic systems and protection equipment, we aim to be at the forefront of defence technology and science.",,EECS
Baker Hughes,www.bakerhughes.com,"Aerospace Engineering, Chemical Engineering, Civil Engineering, Computer Engineering, Computer Science, Electrical Engineering, Engineering Math/Physics, Financial Engineering, Industrial and Operations Engineering, Manufacturing Engineering, Materials Science and Engineering, Mechanical Engineering, Nuclear Engineering and Radiological Sciences","Full-time, Summer Internship","PhD, Masters, Bachelors","West Coast, Southwest, Northeast, Midwest",www.bakerhughes.com/graduate,1,"Monday, September 24th",Yes,"You'll be surprised by the opportunities at Baker Hughes As a leading oilfield services company centered on technology and innovation, Baker Hughes is well known in many parts of the world. However, if you don't know much about us, you may be surprised by the scale and scope of our business, and by the range of career choices we offer to graduates and interns. When you join our team, your opportunities are global.",,BBB
Ball Aerospace & Technologies Corp.,www.ballaerospace.com,"Aerospace Engineering, Chemical Engineering, Computer Engineering, Electrical Engineering, Manufacturing Engineering, Materials Science and Engineering, Mechanical Engineering","Full-time, Summer Internship","PhD, Masters, Bachelors","Southwest, Northeast, Midwest, Southeast",www.ballaerospace.com/careers,2,"Tuesday, September 25th",Yes,"Ball Aerospace leads the way in designing, developing and manufacturing innovative aerospace systems. We take on some of the most complex and exciting challenges—from space and Earth science to national security and intelligence programs. We produce spacecraft, instruments & sensors, RF & microwave technologies, data exploitation solutions, and advanced aerospace technologies and products. Our team of engineers, scientists, technicians and support staff drive the achievements at Ball Aerospace.",,DOW
Barr Engineering Co.,www.barr.com,"Civil Engineering, Environmental Engineering, Industrial and Operations Engineering, Interdisciplinary Engineering (Undergraduate)","Full-time, Summer Internship","PhD, Masters, Bachelors","Northeast, Midwest",Apply online at www.barr.com,1,"Monday, September 24th",Yes,"Barr provides engineering and environmental consulting services to clients across the Midwest, throughout the Americas, and around the world. Barr's project teams serve the power, mining, and fuels industries, natural-resource-management organizations, and others with complex problems. Our project sites range from iron-ore mines in South America to wind-power farms in South Dakota, from manufacturing facilities in California to oil-sands fields in western Canada.",,DOW
Barracuda Networks,www.barracuda.com,"Computer Engineering, Computer Science, Electrical Engineering, Engineering Math/Physics","Full-time, Summer Internship, Co-Op","PhD, Masters, Bachelors","West Coast, Midwest, Southeast",,1,"Monday, September 24th",Yes,"Barracuda Networks simplifies IT and protects businesses with affordable, easy-to-use solutions. The company's portfolio spans security, networking and data protection, including offerings to stop email and Web threats, improve application delivery and network access, message archiving and backup. We are a growing, mid-sized global business with a very entrepreneurial spirit.",X,GA
BASF Corporation,http://jobs.basf.us/,"Chemical Engineering, Civil Engineering, Electrical Engineering, Mechanical Engineering","Full-time, Summer Internship","Masters, Bachelors","West Coast, Southwest, Northeast, Northwest, Midwest, Southeast",,2,"Monday, September 24th",Yes,"BASF is the world's leading chemical company: The Chemical Company. Its portfolio ranges from chemicals, plastics, performance products, and agricultural products to oil and gas. As a reliable partner, BASF creates chemistry to help its customers in virtually all industries to be more successful. With its high-value products and intelligent solutions, BASF plays an important role in finding answers to global challenges, such as climate protection, energy efficiency, nutrition and mobility.",,PC
Bauer Controls,www.bauercontrols.com,"Computer Engineering, Computer Science, Electrical Engineering, Mechanical Engineering",Full-time,Bachelors,Midwest,,1,"Tuesday, September 25th",No,,,EECS
Baxter Healthcare,Baxter.com,"Biomedical Engineering, Chemical Engineering, Industrial and Operations Engineering, Manufacturing Engineering, Materials Science and Engineering, Mechanical Engineering, Pharmaceutical Engineering","Full-time, Summer Internship","PhD, Masters, Bachelors","West Coast, Northeast, Midwest",https://sjobs.brassring.com/1033/ASP/TG/cim_default.asp?SID=^f9KRqkCMXBS/Mig0GYhLAZc0qZqySeVcveikOGtK82Qpk9Q8kAitQA==&RegType=SubmitNow,2,"Tuesday, September 25th",Yes,,,DOW
Bechtel Corporation,www.bechtel.com/university,"Chemical Engineering, Civil Engineering, Electrical Engineering, Environmental Engineering, Industrial and Operations Engineering, Materials Science and Engineering, Mechanical Engineering, Nuclear Engineering and Radiological Sciences","Full-time, Summer Internship, Co-Op","Masters, Bachelors",,www.bechtel.com/university,1,"Tuesday, September 25th",Yes,"The Bechtel group of companies is a global leader in engineering, construction, and project management. With 40 offices worldwide and projects in nearly 50 nations, Bechtel offers challenging careers in power; mining and metals; civil infrastructure; government services; communications; and oil, gas, and chemicals. Bechtel has worked on some of the most complex projects in history and has been the top-ranked U.S. contractor for 14 straight years.",X,BBB
Bechtel Marine Propulsion Corporation,www.bmpc.com,"Chemical Engineering, Civil Engineering, Computer Engineering, Computer Science, Electrical Engineering, Engineering Math/Physics, Environmental Engineering, Financial Engineering, Industrial and Operations Engineering, Integrated Microsystems Engineering, Interdisciplinary Engineering (Undergraduate), Interdisciplinary Programs, Manufacturing Engineering, Materials Science and Engineering, Mechanical Engineering, Naval Architecture and Marine Engineering, Nuclear Engineering and Radiological Sciences","Full-time, Summer Internship","PhD, Masters, Bachelors","Northeast, Northwest, Southeast",www.bmpc.com,3,"Tuesday, September 25th",Yes,"Bechtel Marine Propulsion Corporation (BMPC) develops advanced naval nuclear propulsion technology, provids technical support to ensure the safety and reliability of our nation's naval nuclear reactors and trains the sailors who operate those reactors in the Navy's fleet. BMPC includes both the Bettis and Knolls Atomic Power Laboratories, and has 6200 employees at locations in Pittsburgh, Schenectady, Charleston, Idaho Falls and numerous other sites around the globe.",,PC
Behr America,http://behr.de/internet/cms_usa.nsf/,"Automotive Engineering, Electrical Engineering, Industrial and Operations Engineering, Manufacturing Engineering, Mechanical Engineering","Full-time, Co-Op","Masters, Bachelors",Midwest,,1,"Tuesday, September 25th",Yes,"Behr America develops, manufactures and integrates automotive heat transfer products and systems. At our Technical Center in Troy, Michigan we have a full range of engineering and program management services in HVAC and Engine Cooling. With investments in plant capacities and new manufacturing technologies in our plants in Ohio, South Carolina, Texas and Mexico, we command a very modern manufacturing base. Our Values: Innovative, Result-focused, Reliable, People-Oriented, Cooperative",,CC
Belcan Advanced Engineering and Technology,www.belcan.com,"Aerospace Engineering, Computer Engineering, Computer Science, Electrical Engineering, Mechanical Engineering",Full-time,"Masters, Bachelors","Northeast, Midwest, Southeast",,2,"Tuesday, September 25th",No,"The Advanced Engineering and Technology Division (AETD) of Belcan is a global provider of highly technical engineering services to a wide variety of industries; including but not limited to Aerospace, Helicopter, Energy and Automotive.",,CC
"BigMachines, Inc.",www.bigmachines.com,"Computer Engineering, Computer Science","Full-time, Summer Internship","Masters, Bachelors","West Coast, Midwest",www.bigmachines.com/jobs,2,"Monday, September 24th",Yes,"BigMachines is the global leader in delivering cloud-based mission critical applications to the Fortune 2000. Our industry-leading solutions help companies Sell More and Sell Faster, configuring, pricing, and quoting their complex products. For the fourth consecutive year we had two great distinctions: landing on the ""Inc 5000 list of Fastest Growing Companies"" and being voted #1 on Salesforce's AppExchange.",,CO
Black & Veatch,www.bv.com,"Chemical Engineering, Civil Engineering, Electrical Engineering, Mechanical Engineering",Full-time,"Masters, Bachelors",Midwest,"www.bv.com (""Careers"") referencing (""University Graduates"")",2,"Monday, September 24th",No,"Founded in 1915, Black & Veatch is a leading global engineering, consulting and construction company. We specialize in the following major markets: Energy, Water, Telecommunications, Federal Management Consulting Our employee-owned company has more than 100 offices worldwide and is among the Forbes ""500 Largest Private Companies in the United States."" We have been ranked by Engineering News-Record as the industry's No. 1 design firm in both Power and Telecommunications.",,PC
BlackEdge Capital,www.blackedge.com,"Aerospace Engineering, Automotive Engineering, Biomedical Engineering, Chemical Engineering, Civil Engineering, Computer Engineering, Computer Science, Electrical Engineering, Engineering Math/Physics, Environmental Engineering, Financial Engineering, Industrial and Operations Engineering, Integrated Microsystems Engineering, Interdisciplinary Programs, Manufacturing Engineering, Materials Science and Engineering, Mechanical Engineering, Naval Architecture and Marine Engineering, Nuclear Engineering and Radiological Sciences",Full-time,"Masters, Bachelors",Midwest,,2,"Monday, September 24th",No,"BlackEdge Capital is a leading proprietary trading firm based in Chicago. Since its founding in 2009, BlackEdge has experienced rapid growth and is focused on becoming a leading global liquidity provider. It specializes in making markets in exchange-cleared instruments both on and off of exchange floors. It seeks to capture market inefficiencies utilizing technical innovation and risk management expertise.",,EECS
BlackRock,www.blackrock.com,"Civil Engineering, Computer Engineering, Computer Science, Electrical Engineering, Engineering Math/Physics, Financial Engineering, Materials Science and Engineering, Mechanical Engineering",Full-time,"Masters, Bachelors","West Coast, Northeast",,1,"Tuesday, September 25th",Yes,"BlackRock has built its offering around its clients' greatest needs: providing breadth of capabilities - and depth of knowledge – across active and passive strategies, including iShares® ETFs. This is combined with a singular focus on delivering strong, consistent performance and an ability to look across asset classes, geographies and investment strategies to find the right solutions.",,GA
Bloomberg L.P.,http://www.bloomberg.com/careers/,"Aerospace Engineering, Atmospheric Oceanic & Space Sciences, Automotive Engineering, Biomedical Engineering, Chemical Engineering, Civil Engineering, Computer Engineering, Computer Science, Electrical Engineering, Engineering Physics, Environmental Engineering, Financial Engineering, Industrial and Operations Engineering, Integrated Microsystems, Interdisciplinary Engineering, Interdisciplinary Program, Manufacturing Engineering, Materials Science and Engineering, Mechanical Engineering, Nuclear Engineering, Pharmaceutical Engineering","Full-time, Summer Internship","PhD, Masters, Bachelors",Northeast,http://www.bloomberg.com/careers/entry-level/,1,"Tuesday, September 25th",,Bloomberg's Research and Development department offers exciting opportunities for highly-motivated individuals seeking a challenging technical role in the financial industry. An extensive training program will provide technical and financial skills needed to succeed in Bloomberg's fast-paced and dynamic organization. Successful applicants will be involved in the design and development of state-of-the-art financial information software products.,,GA
Bosch,www.bosch.us,"Computer Engineering, Computer Science, Electrical Engineering, Mechanical Engineering",Full-time,"Masters, Bachelors","West Coast, Northeast, Midwest, Southeast",www.boschcampus.com,2,"Monday, September 24th",Yes,"Bosch in North America is part of the Bosch Group, headquartered in Stuttgart, Germany. Having established a regional presence in 1906, Bosch employs over 22,500 associates in more than 100 locations in the U.S., Canada and Mexico, with sales of $9.8 billion in fiscal year 2011.",,DC
Bose Corporation,www.bose.com,"Civil Engineering, Computer Engineering, Computer Science, Electrical Engineering, Engineering Math/Physics, Industrial and Operations Engineering, Manufacturing Engineering, Mechanical Engineering","Full-time, Summer Internship, Co-Op","Masters, Bachelors",Northeast,,3,"Tuesday, September 25th",No,Bose is a research company dedicated to developing breakthrough technologies and quality products that enrich people's lives.,,DC
"Bostik, Inc.",www.bostik-us.com,"Chemical Engineering, Materials Science and Engineering",Summer Internship,Bachelors,Midwest,www.bostik-us.com/careers,2,"Tuesday, September 25th",No,"As one of the largest adhesive and sealant companies in the world, Bostik designs, manufactures and markets tailor-made bonding solutions within a variety of Business Units: Industrial Adhesives (encompassing Converting, Assembly, Packaging and Transportation), Flexible Laminations and Global Nonwovens. As a subsidiary of TOTAL – leading energy giant who consistently ranks in the top 20 of the Fortune Global 500 and the Forbes Global 2000 with operations in more than 130 countries.",,PC
BP,www.bp.com/uscollegecareers,"Chemical Engineering, Civil Engineering, Mechanical Engineering","Full-time, Summer Internship","PhD, Masters, Bachelors","Southwest, Northeast, Northwest, Midwest, Southeast",www.bp.com/uscollegecareers,2,"Monday, September 24th",No,"BP is one of the world's largest energy companies, providing its customers with fuel for transportation and energy for heat and light. BP employs approximately 97,000 people worldwide and more than 33,000 in the United States. BP's family of brands includes Amoco, ampm, ARCO, BP and Castrol. BP is also among the world's most progressive large enterprises. We are widely known as the first energy company to acknowledge the need for precautionary action to reduce greenhouse gas emissions. Today BP continues to lead the effort to meet the world's growing demand for sustainable, environmentally responsible energy. BP in the U.S. BP is the leading producer of oil and natural gas in the United States, and the largest investor in U.S. energy development. Since 2001, BP has invested about $30 billion in the United States, including major investments to increase existing energy sources, extend energy supplies and develop new low-carbon technologies. BP employs more than 33,000 people in the U.S. and has $40 billion in fixed assets. Every year, we market more than 15 billion gallons of gasoline through BP-, ARCO- and Amoco-branded retail outlets. BP is one of the largest blenders and marketers of biofuels in the U.S. Last year, BP blended 718 million gallons of ethanol with gasoline, a 25 percent increase from the previous year. Today, BP biofuels are available in more than 20 states.",X,DC
